temp,datetime
21.812,2020-12-05 16:52:53.794959
21.875,2020-12-05 16:52:54.675388
21.875,2020-12-05 16:52:55.551429
21.875,2020-12-05 16:52:56.434276
21.875,2020-12-05 16:52:57.391410
21.875,2020-12-05 16:52:58.271486
21.875,2020-12-05 16:52:59.153803
21.875,2020-12-05 16:53:00.032115
21.937,2020-12-05 16:53:01.053372
21.875,2020-12-05 16:53:01.993680
21.937,2020-12-05 16:53:02.911498
21.937,2020-12-05 16:53:03.793780
21.937,2020-12-05 16:53:04.751482
21.937,2020-12-05 16:53:05.676124
21.875,2020-12-05 16:53:06.596427
21.937,2020-12-05 16:53:07.472245
21.937,2020-12-05 16:53:08.353368
21.937,2020-12-05 16:53:09.276164
21.937,2020-12-05 16:53:10.196389
21.937,2020-12-05 16:53:11.073907
21.937,2020-12-05 16:53:11.951528
21.875,2020-12-05 16:53:12.873997
21.937,2020-12-05 16:53:13.795816
21.937,2020-12-05 16:53:14.675022
21.937,2020-12-05 16:53:15.553922
22.0,2020-12-05 16:53:16.431996
22.0,2020-12-05 16:53:17.314146
21.937,2020-12-05 16:53:18.191795
21.937,2020-12-05 16:53:19.071340
22.0,2020-12-05 16:53:19.994152
22.0,2020-12-05 16:53:20.916235
22.0,2020-12-05 16:53:21.831903
22.0,2020-12-05 16:53:22.756398
22.0,2020-12-05 16:53:23.635590
22.0,2020-12-05 16:53:24.511357
22.0,2020-12-05 16:53:25.394218
22.0,2020-12-05 16:53:26.274331
22.0,2020-12-05 16:53:27.196300
22.0,2020-12-05 16:53:28.194139
22.0,2020-12-05 16:53:29.073889
22.0,2020-12-05 16:53:29.954087
22.062,2020-12-05 16:53:30.911475
22.0,2020-12-05 16:53:31.791515
22.0,2020-12-05 16:53:32.711340
22.0,2020-12-05 16:53:33.671472
22.0,2020-12-05 16:53:34.634234
22.0,2020-12-05 16:53:35.554388
22.0,2020-12-05 16:53:36.431359
22.0,2020-12-05 16:53:37.311326
22.0,2020-12-05 16:53:38.193984
21.937,2020-12-05 16:53:39.073952
21.937,2020-12-05 16:53:39.951344
22.0,2020-12-05 16:53:40.835418
22.0,2020-12-05 16:53:41.714074
22.0,2020-12-05 16:53:42.636464
22.0,2020-12-05 16:53:43.555687
22.0,2020-12-05 16:53:44.433689
22.0,2020-12-05 16:53:45.313985
21.937,2020-12-05 16:53:46.193894
22.0,2020-12-05 16:53:47.071351
22.0,2020-12-05 16:53:47.991722
22.0,2020-12-05 16:53:48.915182
22.0,2020-12-05 16:53:49.794312
22.0,2020-12-05 16:53:50.674230
22.0,2020-12-05 16:53:51.551512
22.0,2020-12-05 16:53:52.471339
22.0,2020-12-05 16:53:53.396041
22.0,2020-12-05 16:53:54.274499
22.0,2020-12-05 16:53:55.151353
22.0,2020-12-05 16:53:56.032799
22.0,2020-12-05 16:53:56.991588
22.0,2020-12-05 16:53:57.871566
22.0,2020-12-05 16:53:58.754070
22.0,2020-12-05 16:53:59.631351
22.0,2020-12-05 16:54:00.511349
22.0,2020-12-05 16:54:01.393872
22.0,2020-12-05 16:54:02.271434
22.0,2020-12-05 16:54:03.151542
22.062,2020-12-05 16:54:04.034222
22.062,2020-12-05 16:54:04.914967
22.0,2020-12-05 16:54:05.792529
22.0,2020-12-05 16:54:06.673960
22.0,2020-12-05 16:54:07.551584
22.062,2020-12-05 16:54:08.433656
22.0,2020-12-05 16:54:09.356016
22.0,2020-12-05 16:54:10.276481
22.0,2020-12-05 16:54:11.153986
22.062,2020-12-05 16:54:12.031797
22.062,2020-12-05 16:54:12.914768
22.0,2020-12-05 16:54:13.874439
22.0,2020-12-05 16:54:14.796078
22.0,2020-12-05 16:54:15.716020
22.0,2020-12-05 16:54:16.595819
22.062,2020-12-05 16:54:17.474523
22.062,2020-12-05 16:54:18.351539
22.062,2020-12-05 16:54:19.234401
22.062,2020-12-05 16:54:20.113910
22.062,2020-12-05 16:54:21.035076
22.062,2020-12-05 16:54:21.955500
22.0,2020-12-05 16:54:22.834350
22.0,2020-12-05 16:54:23.711651
22.0,2020-12-05 16:54:24.593939
22.062,2020-12-05 16:54:25.477666
22.062,2020-12-05 16:54:26.396118
22.062,2020-12-05 16:54:27.311538
22.062,2020-12-05 16:54:28.236322
22.125,2020-12-05 16:54:29.191417
22.062,2020-12-05 16:54:30.114027
22.125,2020-12-05 16:54:31.036067
22.062,2020-12-05 16:54:31.955586
22.125,2020-12-05 16:54:32.834303
22.062,2020-12-05 16:54:33.756423
22.062,2020-12-05 16:54:34.711797
22.062,2020-12-05 16:54:35.673632
22.125,2020-12-05 16:54:36.593851
22.062,2020-12-05 16:54:37.473806
22.125,2020-12-05 16:54:38.351423
22.125,2020-12-05 16:54:39.352357
22.062,2020-12-05 16:54:40.275468
22.125,2020-12-05 16:54:41.153875
22.125,2020-12-05 16:54:42.073834
22.062,2020-12-05 16:54:43.071453
22.062,2020-12-05 16:54:43.954358
22.062,2020-12-05 16:54:44.833965
22.062,2020-12-05 16:54:45.714248
22.062,2020-12-05 16:54:46.675990
22.062,2020-12-05 16:54:47.554350
22.062,2020-12-05 16:54:48.511406
22.062,2020-12-05 16:54:49.394269
22.062,2020-12-05 16:54:50.351405
22.062,2020-12-05 16:54:51.231848
22.062,2020-12-05 16:54:52.113860
22.062,2020-12-05 16:54:52.991408
22.062,2020-12-05 16:54:53.874253
22.062,2020-12-05 16:54:54.831531
22.0,2020-12-05 16:54:55.711556
22.062,2020-12-05 16:54:56.594320
22.062,2020-12-05 16:54:57.474114
22.062,2020-12-05 16:54:58.351991
22.062,2020-12-05 16:54:59.234010
22.0,2020-12-05 16:55:00.156687
22.062,2020-12-05 16:55:01.091491
22.062,2020-12-05 16:55:01.991531
22.062,2020-12-05 16:55:02.911377
22.062,2020-12-05 16:55:03.793863
22.062,2020-12-05 16:55:04.673143
22.0,2020-12-05 16:55:05.595375
22.062,2020-12-05 16:55:06.511537
22.125,2020-12-05 16:55:07.393833
22.125,2020-12-05 16:55:08.272003
22.125,2020-12-05 16:55:09.154157
22.125,2020-12-05 16:55:10.036933
22.125,2020-12-05 16:55:10.996318
22.125,2020-12-05 16:55:11.874009
22.125,2020-12-05 16:55:12.751392
22.062,2020-12-05 16:55:13.637585
22.062,2020-12-05 16:55:14.513723
22.125,2020-12-05 16:55:15.392024
22.062,2020-12-05 16:55:16.274116
22.125,2020-12-05 16:55:17.153990
22.062,2020-12-05 16:55:18.034352
22.062,2020-12-05 16:55:18.913944
22.062,2020-12-05 16:55:19.792182
22.062,2020-12-05 16:55:20.674093
22.062,2020-12-05 16:55:21.553725
22.062,2020-12-05 16:55:22.433377
22.125,2020-12-05 16:55:23.351355
22.062,2020-12-05 16:55:24.276145
22.125,2020-12-05 16:55:25.156559
22.125,2020-12-05 16:55:26.033935
22.125,2020-12-05 16:55:26.951343
22.062,2020-12-05 16:55:27.875654
22.062,2020-12-05 16:55:28.831338
22.062,2020-12-05 16:55:29.711341
22.062,2020-12-05 16:55:30.631461
22.125,2020-12-05 16:55:31.555729
22.125,2020-12-05 16:55:32.433872
22.062,2020-12-05 16:55:33.313931
22.062,2020-12-05 16:55:34.191354
22.062,2020-12-05 16:55:35.071449
22.062,2020-12-05 16:55:35.951492
22.062,2020-12-05 16:55:36.831374
22.062,2020-12-05 16:55:37.751548
22.062,2020-12-05 16:55:38.714171
22.062,2020-12-05 16:55:39.671360
22.0,2020-12-05 16:55:40.594138
22.0,2020-12-05 16:55:41.474083
22.062,2020-12-05 16:55:42.354106
22.062,2020-12-05 16:55:43.233795
22.062,2020-12-05 16:55:44.111349
22.062,2020-12-05 16:55:45.073373
22.062,2020-12-05 16:55:45.991342
22.062,2020-12-05 16:55:46.913924
22.062,2020-12-05 16:55:47.794032
22.062,2020-12-05 16:55:48.751464
22.062,2020-12-05 16:55:49.676000
