temp,temp,datetime
21062,20937,2022-04-16 18:06:02.888985
21125,20875,2022-04-16 18:06:09.689628
21125,20875,2022-04-16 18:06:16.568945
21125,20875,2022-04-16 18:06:23.368565
21125,20875,2022-04-16 18:06:30.170057
21125,20937,2022-04-16 18:06:36.969795
21187,21000,2022-04-16 18:06:43.809326
21187,21062,2022-04-16 18:06:50.609894
21187,21062,2022-04-16 18:06:57.369616
21250,21125,2022-04-16 18:07:04.169653
21250,21187,2022-04-16 18:07:10.969629
21250,21312,2022-04-16 18:07:17.770004
21187,21375,2022-04-16 18:07:24.569638
21187,21437,2022-04-16 18:07:31.369618
21250,21687,2022-04-16 18:07:38.170032
21187,21687,2022-04-16 18:07:44.969577
21187,22187,2022-04-16 18:07:51.769616
21187,22312,2022-04-16 18:07:58.569581
21187,22500,2022-04-16 18:08:05.409860
21187,22687,2022-04-16 18:08:12.169517
21187,22812,2022-04-16 18:08:18.969588
21187,22937,2022-04-16 18:08:25.782313
21187,23062,2022-04-16 18:08:32.569676
21187,23187,2022-04-16 18:08:39.449993
21187,23187,2022-04-16 18:08:46.249588
21187,23375,2022-04-16 18:08:53.049097
21187,23437,2022-04-16 18:08:59.849937
21187,23437,2022-04-16 18:09:06.649986
21187,23687,2022-04-16 18:09:13.450469
21125,23750,2022-04-16 18:09:20.249586
21187,23812,2022-04-16 18:09:27.130125
21187,23875,2022-04-16 18:09:33.929642
21187,24000,2022-04-16 18:09:40.769249
21187,24000,2022-04-16 18:09:47.529690
21187,24125,2022-04-16 18:09:54.409996
21187,24187,2022-04-16 18:10:01.209602
21187,24250,2022-04-16 18:10:08.009798
21187,24312,2022-04-16 18:10:14.809627
21187,24375,2022-04-16 18:10:21.610012
21187,24375,2022-04-16 18:10:28.409602
21125,24500,2022-04-16 18:10:35.210010
21125,24562,2022-04-16 18:10:42.048883
21125,24625,2022-04-16 18:10:48.809610
21125,24625,2022-04-16 18:10:55.609631
21187,24625,2022-04-16 18:11:02.410115
21187,24750,2022-04-16 18:11:09.209722
21187,24750,2022-04-16 18:11:16.009628
21187,24812,2022-04-16 18:11:22.809628
21187,24812,2022-04-16 18:11:29.610051
21187,24812,2022-04-16 18:11:36.409678
21187,24812,2022-04-16 18:11:43.209670
21187,24875,2022-04-16 18:11:50.050256
21125,24875,2022-04-16 18:11:56.810335
21187,24875,2022-04-16 18:12:03.610304
21187,24875,2022-04-16 18:12:10.409962
21187,24875,2022-04-16 18:12:17.209648
21187,24937,2022-04-16 18:12:24.009657
21187,24937,2022-04-16 18:12:30.810630
21187,24937,2022-04-16 18:12:37.609967
21187,25000,2022-04-16 18:12:44.409667
21187,25062,2022-04-16 18:12:51.209651
21125,25062,2022-04-16 18:12:58.049558
21125,25062,2022-04-16 18:13:04.889657
21187,25125,2022-04-16 18:13:11.689946
21187,25125,2022-04-16 18:13:18.489726
21125,25125,2022-04-16 18:13:25.409833
21125,25187,2022-04-16 18:13:32.169610
21125,25187,2022-04-16 18:13:38.969585
21125,25187,2022-04-16 18:13:45.929630
21125,25250,2022-04-16 18:13:52.808913
21125,25250,2022-04-16 18:13:59.610081
21125,25312,2022-04-16 18:14:06.410543
21125,25250,2022-04-16 18:14:13.209699
21125,25312,2022-04-16 18:14:20.009868
21125,25312,2022-04-16 18:14:26.809706
21125,25312,2022-04-16 18:14:33.610398
21125,25375,2022-04-16 18:14:40.409663
21125,25375,2022-04-16 18:14:47.209074
21125,25375,2022-04-16 18:14:54.010012
21125,25437,2022-04-16 18:15:00.848926
21062,25437,2022-04-16 18:15:07.608919
21125,25437,2022-04-16 18:15:14.410030
21125,25375,2022-04-16 18:15:21.210365
21125,25437,2022-04-16 18:15:28.008954
21125,25437,2022-04-16 18:15:34.810049
21125,25437,2022-04-16 18:15:41.610430
21187,25437,2022-04-16 18:15:48.449676
21125,25437,2022-04-16 18:15:55.209707
21125,25437,2022-04-16 18:16:02.009969
21125,25437,2022-04-16 18:16:08.850188
21125,25437,2022-04-16 18:16:15.769580
21125,25437,2022-04-16 18:16:22.688113
21125,25437,2022-04-16 18:16:29.480042
21125,25500,2022-04-16 18:16:36.249669
21187,25437,2022-04-16 18:16:43.049678
21125,25437,2022-04-16 18:16:49.891601
21125,25437,2022-04-16 18:16:56.649623
21125,25437,2022-04-16 18:17:03.449952
21125,25437,2022-04-16 18:17:10.250030
21125,25437,2022-04-16 18:17:17.049759
21062,25437,2022-04-16 18:17:23.849618
21062,25437,2022-04-16 18:17:30.649593
21062,25375,2022-04-16 18:17:37.450092
21125,25375,2022-04-16 18:17:44.249688
21125,25375,2022-04-16 18:17:51.050094
21125,25375,2022-04-16 18:17:57.888883
21062,25375,2022-04-16 18:18:04.649651
21125,25375,2022-04-16 18:18:11.449559
21125,25375,2022-04-16 18:18:18.250022
21125,25375,2022-04-16 18:18:25.049935
21125,25375,2022-04-16 18:18:31.849604
21062,25375,2022-04-16 18:18:38.649999
21125,25375,2022-04-16 18:18:45.489620
21125,25375,2022-04-16 18:18:52.249545
21125,25375,2022-04-16 18:18:59.049634
21125,25375,2022-04-16 18:19:05.849650
21125,25375,2022-04-16 18:19:12.649952
21125,25375,2022-04-16 18:19:19.488884
21125,25312,2022-04-16 18:19:26.250141
21125,25312,2022-04-16 18:19:33.090055
21125,25250,2022-04-16 18:19:39.849773
21125,25250,2022-04-16 18:19:46.649713
21125,25250,2022-04-16 18:19:53.449632
21125,25250,2022-04-16 18:20:00.250186
21125,25250,2022-04-16 18:20:07.049650
21125,25250,2022-04-16 18:20:13.849958
21125,25250,2022-04-16 18:20:20.689657
21125,25187,2022-04-16 18:20:27.449970
21187,25187,2022-04-16 18:20:34.249625
21125,25187,2022-04-16 18:20:41.049667
21125,25187,2022-04-16 18:20:47.850275
21125,25187,2022-04-16 18:20:54.649678
21125,25187,2022-04-16 18:21:01.449982
21125,25125,2022-04-16 18:21:08.289534
21125,25187,2022-04-16 18:21:15.049577
21125,25187,2022-04-16 18:21:21.890534
21125,25187,2022-04-16 18:21:28.649967
21125,25125,2022-04-16 18:21:35.449608
21062,25125,2022-04-16 18:21:42.249633
21187,25125,2022-04-16 18:21:49.049944
21125,25125,2022-04-16 18:21:55.850325
21125,25125,2022-04-16 18:22:02.729532
21125,25125,2022-04-16 18:22:09.608931
21125,25125,2022-04-16 18:22:16.409654
21062,25125,2022-04-16 18:22:23.210016
21125,25062,2022-04-16 18:22:30.009642
21125,25062,2022-04-16 18:22:36.809660
21062,25062,2022-04-16 18:22:43.609923
21062,25062,2022-04-16 18:22:50.410108
21125,25062,2022-04-16 18:22:57.209638
21125,25062,2022-04-16 18:23:04.009714
21125,25062,2022-04-16 18:23:10.849608
21125,25062,2022-04-16 18:23:17.609867
21125,25062,2022-04-16 18:23:24.409668
21125,25062,2022-04-16 18:23:31.210458
21125,25062,2022-04-16 18:23:38.009629
21125,25062,2022-04-16 18:23:44.809652
21062,25062,2022-04-16 18:23:51.609661
