temp,datetime
21250,21125,2022-04-16 17:57:12.170068
21312,21125,2022-04-16 17:57:18.969863
21312,21125,2022-04-16 17:57:25.769574
21312,21125,2022-04-16 17:57:32.570052
21312,21125,2022-04-16 17:57:39.369859
21250,21125,2022-04-16 17:57:46.169792
21312,21062,2022-04-16 17:57:52.970499
21312,21125,2022-04-16 17:57:59.769685
21250,21062,2022-04-16 17:58:06.570169
21312,21062,2022-04-16 17:58:13.370203
21312,21062,2022-04-16 17:58:20.169951
21937,21125,2022-04-16 17:58:26.969721
22125,21062,2022-04-16 17:58:33.769643
22187,21125,2022-04-16 17:58:40.570077
22125,21125,2022-04-16 17:58:47.369639
22000,21125,2022-04-16 17:58:54.169678
21750,21062,2022-04-16 17:59:00.970095
21750,21062,2022-04-16 17:59:07.770104
21562,21062,2022-04-16 17:59:14.569724
